Author,Title,Description,URL,Source,Image,Category,Language,Country,Published_at
,"Bitcoin falls, ether surges after SEC greenlights launch of U.S. bitcoin ETFs",Bitcoin fell late Wednesday after the Securities and Exchange Commission gave the green light for the first-ever spot bitcoin ETFs to trade in the U.S.,https://www.cnbc.com/2024/01/10/bitcoin-falls-ether-surges-after-sec-greenlights-launch-of-us-bitcoin-etfs.html,Cnbc | World Business News Leader,,business,en,us,2024-01-10T21:57:00+00:00
Reuters,US SEC approves 11 spot bitcoin ETFs,US SEC approves 11 spot bitcoin ETFs,https://www.investing.com/news/stock-market-news/us-sec-approves-some-spot-bitcoin-etfs-3271791,Investing.com | Stock Market Quotes &amp; Financial News,https://i-invdn-com.investing.com/trkd-images/LYNXMPEK090UB_L.jpg,business,en,us,2024-01-10T21:07:03+00:00
Leo Schwartz,SEC approves Bitcoin ETFs in long-awaited decision after hacking incident on Tuesday,The agency was forced into action after a landmark court victory by the crypto firm Grayscale and the arrival of major players like BlackRock and Fidelity.,https://fortune.com/crypto/2024/01/10/sec-bitcoin-etfs-gary-gensler-blackrock-fidelity-hacking/,Fortune,https://content.fortune.com/wp-content/uploads/2024/01/GettyImages-1848359560-e1704904537799.jpg?w=2048,business,en,us,2024-01-10T20:50:37+00:00
Reuters,Bitcoin ETF hopefuls still expect SEC approval despite social media hack,Bitcoin ETF hopefuls still expect SEC approval despite social media hack,https://www.investing.com/news/stock-market-news/bitcoin-etf-hopefuls-still-expect-sec-approval-despite-social-media-hack-3271235,Investing.com | Stock Market Quotes &amp; Financial News,https://i-invdn-com.investing.com/trkd-images/LYNXMPEK090CL_L.jpg,business,en,us,2024-01-10T20:21:28+00:00
U.Today,XRP Lawyer Mocks Jim Cramer’s Bizarre Bitcoin Forecast,XRP Lawyer Mocks Jim Cramer’s Bizarre Bitcoin Forecast,https://www.investing.com/news/cryptocurrency-news/xrp-lawyer-mocks-jim-cramers-bizarre-bitcoin-forecast-3271713,Investing.com | Stock Market Quotes &amp; Financial News,https://i-invdn-com.investing.com/news/LYNXMPEDAE0PJ-ORUBS_M.jpg,business,en,us,2024-01-10T16:30:45+00:00
U.Today,"DOGE and BTC Head to Literal Moon, Bitcoin Made History With This Bullish Pattern, 546 Billion SHIB Withdrawn from Binance: Crypto News Digest by U.Today","DOGE and BTC Head to Literal Moon, Bitcoin Made History With This Bullish Pattern, 546 Billion SHIB Withdrawn from Binance: Crypto News Digest by U.Today",https://www.investing.com/news/cryptocurrency-news/doge-and-btc-head-to-literal-moon-bitcoin-made-history-with-this-bullish-pattern-546-billion-shib-withdrawn-from-binance-crypto-news-digest-by-utoday-3271712,Investing.com | Stock Market Quotes &amp; Financial News,,business,en,us,2024-01-10T16:30:40+00:00
U.Today,Bitcoiner Michael Saylor Posts Reference to Elon Musk's DOGE Tweet,Bitcoiner Michael Saylor Posts Reference to Elon Musk's DOGE Tweet,https://www.investing.com/news/cryptocurrency-news/bitcoiner-michael-saylor-posts-reference-to-elon-musks-doge-tweet-3271711,Investing.com | Stock Market Quotes &amp; Financial News,,business,en,us,2024-01-10T16:30:35+00:00
U.Today,"Samson Mow Issues Ultra-Bullish Bitcoin Statement, Dogecoin Whale Moves 332.9 Million DOGE to Binance, Michaël van de Poppe Predicts Bullish Breakout for ETH: Crypto News Digest by U.Today","Samson Mow Issues Ultra-Bullish Bitcoin Statement, Dogecoin Whale Moves 332.9 Million DOGE to Binance, Michaël van de Poppe Predicts Bullish Breakout for ETH: Crypto News Digest by U.Today",https://www.investing.com/news/cryptocurrency-news/samson-mow-issues-ultrabullish-bitcoin-statement-dogecoin-whale-moves-3329-million-doge-to-binance-michael-van-de-poppe-predicts-bullish-breakout-for-eth-crypto-news-digest-by-utoday-3271710,Investing.com | Stock Market Quotes &amp; Financial News,https://i-invdn-com.investing.com/news/LYNXMPEE0802O_M.jpg,business,en,us,2024-01-10T16:30:27+00:00
The Associated Press,Regulators are set to decide whether to OK a new bitcoin fund. Here’s what investors need to know,"NEW YORK (AP) &#8212; U.S. regulators are soon expected to decide whether to approve the first bitcoin exchange-traded fund, a development that could thrust the once niche and nerdy corner of the internet even further into the financial mainstream. The regulatory greenlight has been anticipated for several months and the price of bitcoin has jumped [&#8230;]",https://financialpost.com/pmn/business-pmn/regulators-are-set-to-decide-whether-to-ok-a-new-bitcoin-fund-heres-what-investors-need-to-know,Financial Post | Canada Business News,,business,en,us,2024-01-10T15:10:39+00:00
Bloomberg News,"SEC’s X account was hacked, sparking spike in Bitcoin and raising questions about Elon’s Musk platform",Breach was one of the most consequential in years on the platform formerly known as Twitter,https://financialpost.com/fp-finance/cryptocurrency/sec-x-account-hacked-sparking-spike-bitcoin,Financial Post | Canada Business News,,business,en,us,2024-01-10T14:13:48+00:00
